threshold,precision,recall
0.0,0.024614100959532748,1.0
0.0010329760293201831,0.024779504409911803,1.0
0.0020659520586403662,0.02502120441051739,1.0
0.0030989280879605494,0.02531102531102531,1.0
0.0041319041172807325,0.025979744605900485,1.0
0.005164880146600916,0.0272895467160037,1.0
0.006197856175921099,0.029903699949315764,1.0
0.007230832205241282,0.03394706559263521,1.0
0.008263808234561465,0.040943789035392086,1.0
0.009296784263881648,0.0475396163469558,0.9661016949152542
0.009296784263881648,0.0475396163469558,0.9661016949152542
0.029285859933141332,0.18796992481203006,0.847457627118644
0.04927493560240102,0.3081761006289308,0.8305084745762712
0.06926401127166071,0.37404580152671757,0.8305084745762712
0.08925308694092038,0.46153846153846156,0.8135593220338984
0.10924216261018008,0.5263157894736842,0.6779661016949152
0.12923123827943975,0.5507246376811594,0.6440677966101694
0.14922031394869945,0.5625,0.6101694915254238
0.16920938961795912,0.6226415094339622,0.559322033898305
0.1891984652872188,0.6888888888888889,0.5254237288135594
0.20918754095647848,0.7631578947368421,0.4915254237288136
0.22917661662573818,0.8125,0.4406779661016949
0.24916569229499785,0.9259259259259259,0.423728813559322
0.2691547679642575,0.9259259259259259,0.423728813559322
0.28914384363351725,0.92,0.3898305084745763
0.3091329193027769,0.9130434782608695,0.3559322033898305
0.3291219949720366,0.9,0.3050847457627119
0.34911107064129626,0.8823529411764706,0.2542372881355932
0.36910014631055593,0.8666666666666667,0.22033898305084745
0.38908922197981566,0.9166666666666666,0.1864406779661017
0.38908922197981566,0.9166666666666666,0.1864406779661017
0.3970756129819494,0.8888888888888888,0.13559322033898305
0.4050620039840831,0.8888888888888888,0.13559322033898305
0.41304839498621676,0.875,0.11864406779661017
0.4210347859883505,0.8571428571428571,0.1016949152542373
0.4290211769904842,0.8571428571428571,0.1016949152542373
0.4370075679926179,0.8333333333333334,0.0847457627118644
0.4449939589947516,0.8333333333333334,0.0847457627118644
0.4529803499968853,1.0,0.0847457627118644
0.460966740999019,1.0,0.05084745762711865
