threshold,precision,recall
4.035691144266452e-05,0.022261277094317515,1.0
0.002508577847279277,0.023114355231143552,1.0
0.004976798783115889,0.024828487422410978,1.0
0.0074450197189525015,0.026325026325026327,0.9868421052631579
0.009913240654789114,0.02857142857142857,0.9868421052631579
0.012381461590625727,0.031354515050167224,0.9868421052631579
0.014849682526462338,0.03415300546448088,0.9868421052631579
0.01731790346229895,0.03627450980392157,0.9736842105263158
0.019786124398135565,0.0381105743424584,0.9342105263157895
0.022254345333972178,0.041007615700058585,0.9210526315789473
0.022254345333972178,0.041007615700058585,0.9210526315789473
0.04927943127627912,0.1008130081300813,0.8157894736842105
0.07630451721858607,0.1341772151898734,0.6973684210526315
0.10332960316089301,0.1716171617161716,0.6842105263157895
0.13035468910319997,0.21428571428571427,0.6710526315789473
0.15737977504550693,0.24757281553398058,0.6710526315789473
0.18440486098781383,0.294478527607362,0.631578947368421
0.2114299469301208,0.3700787401574803,0.618421052631579
0.23845503287242775,0.37894736842105264,0.47368421052631576
0.2654801188147347,0.4225352112676056,0.39473684210526316
0.29250520475704167,0.4426229508196721,0.35526315789473684
0.3195302906993486,0.5,0.3026315789473684
0.34655537664165553,0.5238095238095238,0.2894736842105263
0.3735804625839625,0.55,0.2894736842105263
0.4006055485262694,0.5384615384615384,0.27631578947368424
0.42763063446857635,0.5405405405405406,0.2631578947368421
0.4546557204108833,0.5757575757575758,0.25
0.48168080635319027,0.5714285714285714,0.21052631578947367
0.5087058922954972,0.5416666666666666,0.17105263157894737
0.5357309782378041,0.5555555555555556,0.13157894736842105
0.5357309782378041,0.5555555555555556,0.13157894736842105
0.5465529466115304,0.5333333333333333,0.10526315789473684
0.5573749149852567,0.5333333333333333,0.10526315789473684
0.568196883358983,0.4166666666666667,0.06578947368421052
0.5790188517327093,0.4,0.05263157894736842
0.5898408201064356,0.375,0.039473684210526314
0.6006627884801619,0.42857142857142855,0.039473684210526314
0.6114847568538881,0.5,0.039473684210526314
0.6223067252276144,0.5,0.02631578947368421
0.6331286936013407,0.5,0.02631578947368421
