threshold,precision,recall
0.00015077654841114149,0.022280856053943126,1.0
0.002519835902487704,0.0225787284610814,1.0
0.004888895256564266,0.02313546423135464,1.0
0.007257954610640828,0.02371294851794072,1.0
0.009627013964717391,0.024053880692751765,0.9868421052631579
0.011996073318793954,0.02476882430647292,0.9868421052631579
0.014365132672870515,0.025739130434782608,0.9736842105263158
0.01673419202694708,0.026843100189035917,0.9342105263157895
0.01910325138102364,0.031181379007465964,0.9342105263157895
0.021472310735100204,0.03985932004689332,0.8947368421052632
0.021472310735100204,0.03985932004689332,0.8947368421052632
0.04566379087227239,0.09305993690851735,0.7763157894736842
0.06985527100944458,0.1222707423580786,0.7368421052631579
0.09404675114661676,0.16071428571428573,0.7105263157894737
0.11823823128378894,0.20077220077220076,0.6842105263157895
0.1424297114209611,0.23222748815165878,0.6447368421052632
0.16662119155813332,0.2781065088757396,0.618421052631579
0.1908126716953055,0.3108108108108108,0.6052631578947368
0.21500415183247767,0.34710743801652894,0.5526315789473685
0.23919563196964985,0.37362637362637363,0.4473684210526316
0.26338711210682203,0.41333333333333333,0.40789473684210525
0.28757859224399424,0.4461538461538462,0.3815789473684211
0.31177007238116644,0.4482758620689655,0.34210526315789475
0.3359615525183386,0.48148148148148145,0.34210526315789475
0.3601530326555108,0.46808510638297873,0.2894736842105263
0.38434451279268295,0.5405405405405406,0.2631578947368421
0.40853599292985515,0.59375,0.25
0.43272747306702736,0.5517241379310345,0.21052631578947367
0.4569189532041995,0.5652173913043478,0.17105263157894737
0.4811104333413717,0.5555555555555556,0.13157894736842105
0.4811104333413717,0.5555555555555556,0.13157894736842105
0.4907192201886311,0.625,0.13157894736842105
0.5003280070358905,0.5714285714285714,0.10526315789473684
0.5099367938831499,0.5714285714285714,0.10526315789473684
0.5195455807304094,0.5833333333333334,0.09210526315789473
0.5291543675776686,0.42857142857142855,0.039473684210526314
0.5387631544249281,0.42857142857142855,0.039473684210526314
0.5483719412721875,0.5,0.039473684210526314
0.5579807281194469,0.6,0.039473684210526314
0.5675895149667063,0.75,0.039473684210526314
