threshold,precision,recall
0.0027629123794422304,0.022261277094317515,1.0
0.004237600356009601,0.022359517505148575,1.0
0.005712288332576973,0.023100303951367782,1.0
0.007186976309144345,0.024844720496894408,1.0
0.008661664285711716,0.027357811375089993,1.0
0.010136352262279087,0.03042433947157726,1.0
0.01161104023884646,0.03388319215336603,1.0
0.01308572821541383,0.0374384236453202,1.0
0.014560416191981201,0.04002163331530557,0.9736842105263158
0.016035104168548572,0.043350908025776215,0.9736842105263158
0.016035104168548572,0.043350908025776215,0.9736842105263158
0.030860550180939895,0.07599118942731277,0.9078947368421053
0.04568599619333122,0.11512027491408934,0.881578947368421
0.060511442205722535,0.14617169373549885,0.8289473684210527
0.07533688821811385,0.1676470588235294,0.75
0.09016233423050518,0.19494584837545126,0.7105263157894737
0.1049877802428965,0.2074688796680498,0.6578947368421053
0.11981322625528783,0.2318840579710145,0.631578947368421
0.13463867226767914,0.25287356321839083,0.5789473684210527
0.14946411828007045,0.2582781456953642,0.5131578947368421
0.16428956429246178,0.2536231884057971,0.4605263157894737
0.1791150103048531,0.2719298245614035,0.40789473684210525
0.19394045631724444,0.29,0.3815789473684211
0.20876590232963577,0.32558139534883723,0.3684210526315789
0.2235913483420271,0.3561643835616438,0.34210526315789475
0.23841679435441837,0.375,0.3157894736842105
0.2532422403668097,0.42857142857142855,0.27631578947368424
0.26806768637920103,0.425,0.2236842105263158
0.28289313239159236,0.4444444444444444,0.15789473684210525
0.2977185784039837,0.3888888888888889,0.09210526315789473
0.2977185784039837,0.3888888888888889,0.09210526315789473
0.3119310932056012,0.35714285714285715,0.06578947368421052
0.3261436080072187,0.35714285714285715,0.06578947368421052
0.3403561228088362,0.2727272727272727,0.039473684210526314
0.3545686376104537,0.2222222222222222,0.02631578947368421
0.3687811524120712,0.16666666666666666,0.013157894736842105
0.3829936672136887,0.25,0.013157894736842105
0.3972061820153062,0.25,0.013157894736842105
0.4114186968169237,0.25,0.013157894736842105
0.4256312116185412,0.25,0.013157894736842105
