threshold,precision,recall
0.0,0.023296703296703296,1.0
0.0008948107396131717,0.024824355971896955,1.0
0.0017896214792263434,0.02555110220440882,0.9622641509433962
0.002684432218839515,0.027419354838709678,0.9622641509433962
0.003579242958452687,0.029086678301337987,0.9433962264150944
0.004474053698065859,0.030973451327433628,0.9245283018867925
0.00536886443767903,0.033012379642365884,0.9056603773584906
0.0062636751772922016,0.03560830860534125,0.9056603773584906
0.007158485916905374,0.038834951456310676,0.9056603773584906
0.008053296656518546,0.0421792618629174,0.9056603773584906
0.008053296656518546,0.0421792618629174,0.9056603773584906
0.03446768752265435,0.1760299625468165,0.8867924528301887
0.06088207838879016,0.3790322580645161,0.8867924528301887
0.08729646925492596,0.6619718309859155,0.8867924528301887
0.11371086012106177,0.7301587301587301,0.8679245283018868
0.14012525098719758,0.7894736842105263,0.8490566037735849
0.16653964185333336,0.82,0.7735849056603774
0.19295403271946918,0.8444444444444444,0.7169811320754716
0.219368423585605,0.85,0.6415094339622641
0.2457828144517408,0.8611111111111112,0.5849056603773585
0.2721972053178766,0.8571428571428571,0.5660377358490566
0.2986115961840124,0.8275862068965517,0.4528301886792453
0.3250259870501482,0.8846153846153846,0.4339622641509434
0.351440377916284,0.875,0.39622641509433965
0.3778547687824198,0.8636363636363636,0.3584905660377358
0.40426915964855564,0.85,0.32075471698113206
0.4306835505146914,0.8333333333333334,0.2830188679245283
0.4570979413808272,0.8125,0.24528301886792453
0.48351233224696305,0.9230769230769231,0.22641509433962265
0.5099267231130988,0.9166666666666666,0.20754716981132076
0.5099267231130988,0.9166666666666666,0.20754716981132076
0.5246957100768925,0.9090909090909091,0.18867924528301888
0.5394646970406862,0.8888888888888888,0.1509433962264151
0.5542336840044798,0.8888888888888888,0.1509433962264151
0.5690026709682735,0.8571428571428571,0.11320754716981132
0.5837716579320672,0.8,0.07547169811320754
0.5985406448958609,0.75,0.05660377358490566
0.6133096318596545,0.75,0.05660377358490566
0.6280786188234482,0.75,0.05660377358490566
0.6428476057872419,0.6666666666666666,0.03773584905660377
