threshold,precision,recall
0.0,0.034832451499118164,1.0
0.00013207203398747365,0.03675417661097852,0.9746835443037974
0.0002641440679749473,0.038156209987195905,0.9430379746835443
0.00039621610196242094,0.04083885209713024,0.9367088607594937
0.0005282881359498946,0.04252199413489736,0.9177215189873418
0.0006603601699373682,0.04431175361407919,0.8924050632911392
0.0007924322039248419,0.04632426988922457,0.8734177215189873
0.0009245042379123155,0.049364791288566245,0.8607594936708861
0.0010565762718997892,0.05250690880378997,0.8417721518987342
0.0011886483058872628,0.0582010582010582,0.8354430379746836
0.0011886483058872628,0.0582010582010582,0.8354430379746836
0.007610633555302297,0.25569620253164554,0.6392405063291139
0.01403261880471733,0.42328042328042326,0.5063291139240507
0.020454604054132363,0.5,0.379746835443038
0.0268765893035474,0.5060240963855421,0.26582278481012656
0.03329857455296243,0.4925373134328358,0.2088607594936709
0.03972055980237746,0.41818181818181815,0.14556962025316456
0.046142545051792494,0.4,0.12658227848101267
0.05256453030120753,0.4,0.11392405063291139
0.058986515550622565,0.3902439024390244,0.10126582278481013
0.0654085008000376,0.43243243243243246,0.10126582278481013
0.07183048604945264,0.47058823529411764,0.10126582278481013
0.07825247129886766,0.47058823529411764,0.10126582278481013
0.08467445654828269,0.4838709677419355,0.0949367088607595
0.09109644179769773,0.4666666666666667,0.08860759493670886
0.09751842704711276,0.4666666666666667,0.08860759493670886
0.1039404122965278,0.4444444444444444,0.0759493670886076
0.11036239754594283,0.44,0.06962025316455696
0.11678438279535787,0.4583333333333333,0.06962025316455696
0.1232063680447729,0.4782608695652174,0.06962025316455696
0.1232063680447729,0.4782608695652174,0.06962025316455696
0.14592034085791117,0.5555555555555556,0.06329113924050633
0.16863431367104945,0.5625,0.056962025316455694
0.19134828648418772,0.6428571428571429,0.056962025316455694
0.21406225929732597,0.5833333333333334,0.04430379746835443
0.23677623211046422,0.5833333333333334,0.04430379746835443
0.25949020492360253,0.6,0.0379746835443038
0.2822041777367408,0.625,0.03164556962025317
0.30491815054987903,0.7142857142857143,0.03164556962025317
0.32763212336301734,0.6,0.0189873417721519
